FIPS,State,County,MedHHInc,PerCapitaInc,PovertyUnder18Pct,PovertyAllAgesPct,Deep_Pov_All,Deep_Pov_Children,PovertyUnder18Num,PovertyAllAgesNum
00000,US,United States,57617,29829,19.5,14,6.691944035,9.403886458,14115713,44268996
01000,AL,Alabama,46309,24736,24.7,17.2,8.081401655,12.62937471,267674,814197
01001,AL,Autauga,54487,26168,19.3,13.5,5.155866515,9.000363504,2588,7444
01003,AL,Baldwin,56460,28069,17.6,11.7,5.284784378,7.307683546,7881,24005
01005,AL,Barbour,32884,17249,39.6,29.9,14.08569857,32.24446786,2146,6787
01007,AL,Bibb,43079,18988,27.5,20.1,6.377711984,9.050445104,1263,4099
01009,AL,Blount,47213,21033,19.4,14.1,7.476488205,12.94117647,2568,8033
01011,AL,Bullock,34278,17909,45.7,32.6,14.00433327,40.07971656,995,2841
01013,AL,Butler,35409,19011,36.6,24.8,8.629924413,15.44524925,1708,4880
01015,AL,Calhoun,41778,22231,25.7,17.1,7.470050581,12.22231101,6313,19057
01017,AL,Chambers,39530,21532,32.5,19.9,8.566397039,16.86577653,2292,6656
01019,AL,Cherokee,41456,22544,27.5,16.8,5.175731396,7.487552662,1387,4273
01021,AL,Chilton,44188,22045,26.3,18.3,8.669545738,14.41502167,2740,7960
01023,AL,Choctaw,32691,20773,32.6,22.7,7.203422198,12.43164419,852,2910
01025,AL,Clarke,34061,20543,38.9,29,14.20975131,17.16255443,2068,6977
01027,AL,Clay,38512,21115,28.2,18.9,6.310086983,9.467667024,781,2495
01029,AL,Cleburne,43483,19791,24.5,17.2,6.315360587,9.750367107,831,2527
01031,AL,Coffee,48632,25325,21.3,14.4,6.59436872,11.3275372,2554,7271
01033,AL,Colbert,46572,23318,25.1,16.7,6.73900946,9.694839705,2851,8982
01035,AL,Conecuh,29758,16004,43.9,28.1,15.24322611,29.92125984,1135,3464
01037,AL,Coosa,36441,18080,29.3,17.5,5.849290273,10.73791349,536,1801
01039,AL,Covington,35010,21738,28.1,19.6,7.723687054,15.02840207,2275,7228
01041,AL,Crenshaw,37374,20455,28.8,20.5,6.89503733,9.211376858,912,2822
01043,AL,Cullman,41543,21041,20.7,14.9,7.236103138,8.711595089,3758,12133
01045,AL,Dale,40523,22834,29.7,20.6,8.955687037,13.74570447,3339,9936
01047,AL,Dallas,30488,17611,58.3,35.4,17.74789094,34.86771974,5670,13987
01049,AL,DeKalb,37128,18685,30.9,20.5,8.486905917,12.74301772,5285,14362
01051,AL,Elmore,54553,24771,20.2,13.5,5.540024412,9.532872913,3689,10316
01053,AL,Escambia,35096,17420,30.7,23.3,10.4788892,13.94369586,2538,8020
01055,AL,Etowah,40972,21287,26.8,17.5,7.059874888,13.2699722,5878,17624
01057,AL,Fayette,38403,20201,29,20.3,7.819676094,11.53418566,1007,3307
01059,AL,Franklin,37049,18193,29.4,20.1,8.86153057,13.36338327,2233,6272
01061,AL,Geneva,36976,20189,31.4,20.9,9.204196811,16.47423746,1824,5495
01063,AL,Greene,26559,13679,49.3,34,20.54136396,39.69849246,938,2845
01065,AL,Hale,35381,19296,34.8,23.7,12.06259655,21.94224236,1228,3495
01067,AL,Henry,41426,22825,28.9,18.7,5.318205992,6.270810211,1015,3159
01069,AL,Houston,42910,24086,28.7,19.4,7.813867548,14.46318387,6864,19878
01071,AL,Jackson,41407,20487,23.6,17.5,8.506427377,13.59865867,2563,9007
01073,AL,Jefferson,50109,28162,22,15.3,8.065854215,13.02191755,33006,98463
01075,AL,Lamar,38358,20206,27.1,18.6,10.20686683,15.54098361,798,2545
01077,AL,Lauderdale,44124,24893,20.9,15.2,7.871352785,12.49600171,3837,13739
01079,AL,Lawrence,43107,21911,24,16.8,5.544476674,7.029730481,1724,5530
01081,AL,Lee,47749,24951,18.2,18.3,12.6734224,12.12707433,6134,28139
01083,AL,Limestone,52181,26086,17.8,12.8,5.361342802,6.283499234,3757,11511
01085,AL,Lowndes,32011,18434,57.5,31.7,15.16135192,29.96331023,1342,3252
01087,AL,Macon,30681,18385,45.2,30,12.3943662,19.83256351,1448,5183
01089,AL,Madison,61193,33264,18.4,13.5,5.847672183,8.433611157,14358,47081
